lat,lon,municipio
-24.43854553594076,-53.35175238579151,Iracema do Oeste
-25.817626432523948,-48.7686715047749,Guaratuba
-26.660693784669228,-50.291540446012355,Monte Castelo
-29.09294808778418,-51.461690391930375,Pinto Bandeira
2.4238439758648638,-51.406647918279035,Calçoene
-26.97363368285598,-49.395965515116565,Ascurra
-7.340579133336542,-36.93103910430206,Livramento
-23.658457713737484,-52.89029454398152,Tapejara
-22.87121308093829,-47.73182553966624,Saltinho
-17.766370244178628,-46.50160745684409,Lagoa Grande
-7.564837074783126,-35.96606750735248,Barra de Santana
-8.369788943388604,-35.264463514914105,Escada
-2.4981150459302897,-45.1269033881631,Pinheiro
-21.644140129948973,-50.99166222016935,Lucélia
-7.250344997713449,-41.53429855992814,Aroeiras do Itaim
-8.485813957074958,-43.08211580723933,Tamboril do Piauí
-19.205368275385524,-40.50001599683102,Governador Lindenberg
-3.4536763466371543,-41.542301934668565,Cocal
-22.060115635970142,-48.185329346414214,Ribeirão Bonito
-12.78386306323937,-57.220274250838976,Nova Maringá
-20.314037481289564,-48.36413710923969,Guaíra
-24.21366691939729,-47.652268342881484,Juquiá
-6.053006348501671,-38.10863441356371,Francisco Dantas
-26.975086781688177,-53.10087034269047,Cunhataí
-6.050070619289163,-42.70265945637441,Santo Antônio dos Milagres
-28.06346271006552,-55.243050667734494,Pirapó
-26.476550937089712,-48.94488242315495,Guaramirim
-19.054016831617016,-42.931109469518276,Dores de Guanhães
-29.328352478163023,-49.809701049985414,Torres
-3.809839837408193,-47.493609103031815,Ulianópolis
-27.641126331313256,-53.95315800000863,Sede Nova
-8.237647988351428,-46.34275815457408,Balsas
-11.220235601349737,-39.48523547237402,Santaluz
-14.167820724968117,-40.76408744153191,Mirante
-7.473533931690542,-38.01845655565963,Nova Olinda
-23.780901985213802,-51.53281413719134,Novo Itacolomi
-27.284350803348083,-51.421889618961664,Erval Velho
-21.826448740008136,-42.74646414332008,Além Paraíba
-9.624656595465702,-36.49531334155793,Taquarana
-4.214778150802177,-43.29735622127031,Afonso Cunha
-9.865417399875248,-37.699288689963566,Poço Redondo
-20.982807413480128,-41.65566740934473,São José do Calçado
-11.160294285490531,-61.568969172200624,Ministro Andreazza
-12.283355064637425,-42.734881000867574,Oliveira dos Brejinhos
-22.037656947711557,-51.722519602998446,Santo Anastácio
-1.0743224125191584,-54.35306820855841,Monte Alegre
-12.140392184943522,-56.75487811247427,Itanhangá
-6.683530986011205,-36.92106541973497,Ouro Branco
-7.062660189774438,-36.09365795016412,Pocinhos
-8.18133709115548,-43.69623286980379,Colônia do Gurguéia
-11.11099179066265,-55.58981127367683,Itaúba
-7.074081797692779,-38.21377921303689,Aguiar
-14.567164948987562,-46.63253598172555,Alvorada do Norte
-18.51879166830697,-53.20312944856215,Costa Rica
0.9571043186664335,-51.41735134938589,Ferreira Gomes
-22.809313145201305,-49.56895434896557,Santa Cruz do Rio Pardo
-16.608804862708894,-44.97361643376344,Ponto Chique
-7.1315345537307975,-41.685639696985334,Paquetá
-5.195953915423556,-36.523459998760195,Macau
-20.58753015224249,-47.6271736562574,São José da Bela Vista
-11.030565695403055,-43.36605211609123,Barra
-15.017705363018056,-48.30814696741503,Mimoso de Goiás
-7.68638426823288,-35.03256146191221,Itaquitinga
-23.650080199720747,-46.648096605284884,São Paulo
-6.1489812964950605,-37.36591732168077,Belém do Brejo do Cruz
-6.833174544697007,-35.64414331484836,Serraria
-16.596693420408986,-49.67864984701813,Santa Bárbara de Goiás
-27.51406323771522,-53.51872186539231,Erval Seco
-24.459934208321712,-51.944457743015974,Nova Tebas
-11.429022279663288,-40.26088298258853,Serrolândia
-24.08020328905136,-51.77098451284801,Lunardelli
-5.099885758003355,-42.284264193391294,Coivaras
-4.239086695098207,-38.29708705879747,Cascavel
-29.25674927898517,-51.82931180367226,Roca Sales
-18.703088878116084,-44.958192336028006,Felixlândia
-8.356587102029378,-48.21068209950463,Tupiratins
-23.438843920719894,-52.541181621473264,Japurá
-20.145046042174975,-47.820643772479904,Aramina
-21.04164988906376,-41.93126325923639,Natividade
