lat,lon,altitude
-8.76889178971532,-63.8314456543611,86.895415
-6.52910607561267,-64.3942308189288,52.008963
-3.85202140065516,-32.435186328053,0.0
-4.3661574895726,-70.1879892845226,76.016638
-4.37498901846019,-70.0273484332765,69.803811
-4.23188367550759,-69.9462443752272,63.0
-3.46650962337728,-68.9448534881358,86.623249
-3.36680518739482,-68.2096146409404,73.447708
-3.10748630907923,-67.9464851438841,67.357928
-2.86109124974123,-67.7764822806952,66.102264
-3.47488959877636,-66.0630419255434,64.379174
-2.74464644676747,-66.7713275466878,62.144425
-2.51227068446504,-66.0965029898347,58.147019
-0.136462788112021,-67.0836428963463,61.510476
-1.88084485864101,-66.9969034946413,69.840525
-3.34837249383133,-64.7084196633027,46.584182
-2.98360924259388,-65.1553456401554,42.588237
-3.21658376896053,-64.8135346775686,46.116014
-1.86643687723974,-65.5742837031641,47.135937
-0.416694831868121,-65.020022639512,34.120877
-11.9355403043823,-61.99982389629361,337.735719
-13.4765620020333,-61.04437900253839,170.255529
-13.19503303162,-60.8184261646815,262.811307
-12.1317772241827,-61.853077168603,396.560544
-11.9084233320875,-61.7733054630545,265.234157
-12.1798270503181,-61.5979979726776,296.282838
-11.9143893543069,-61.5125081133327,269.726767
-11.8257069538678,-61.3165462429165,244.567351
-12.9975202360694,-60.9487011706614,269.171178
-12.5568407606929,-60.9018477499554,340.299631
-11.7671166352298,-63.03876099770721,185.830878
-11.6994897434308,-62.7200634814364,191.082628
-11.0456092895817,-62.66942709525659,211.815643
-10.6120717722655,-62.74045763946321,201.781008
-11.72132541348,-62.30823016301899,259.417475
-11.344130023069,-62.2772748656972,182.40013
-11.7097429196397,-61.9943876627606,229.511705
-11.4268422250956,-61.9491611964662,214.995394
-10.9155320413115,-62.55508939888,241.493724
-11.1285452753216,-62.3706324537667,197.170024
-10.9321692856881,-62.25592225395459,191.34936
-10.7235739004681,-62.2610551904363,252.167649
-10.3388728390592,-62.9031899345687,161.056558
-9.90846286624693,-63.0332692780484,138.688981
-9.70553670942552,-62.9000103659589,124.322215
-10.4359487675478,-62.4762307081317,162.551328
-10.2487305516953,-62.3451455299349,191.598548
-10.43105268422,-62.1343903568099,153.994474
-9.85139270774329,-62.1768234421278,157.665353
-9.42556247969476,-61.9995925724466,144.19909
-11.7222589130049,-61.7857809351854,226.711103
-11.433865028318,-61.4429442118224,177.453547
-11.1732050158676,-61.90943868352979,178.222375
-10.8820513179987,-61.94509458268411,157.262673
-11.1962379837992,-61.5189219301054,266.291526
-10.8443019736611,-61.4596781719947,227.996455
-11.6775369896255,-61.183665673642,186.174033
-11.5285546329773,-61.0201731132847,262.527225
-13.4997634592674,-60.5443135812009,236.06316
-13.1305638410373,-60.5550674630789,419.090613
-13.6605599165493,-59.7904309944221,624.02002
-12.7413734713965,-60.1385838660987,595.093769
-13.7199230452052,-59.2634085205862,624.511595
-13.5381953530411,-58.8121380141755,569.362636
-10.1725236951542,-59.4486163791619,237.311441
-11.4220180319014,-58.7622171517696,358.618214
-11.1341078572341,-58.6134092636961,320.954334
-9.45790384640582,-59.2189486740791,134.0
-10.3291127795335,-58.4963091740334,241.72509
-9.88625387121004,-58.6068949710817,245.406489
-9.19187167502991,-63.18233701651829,98.95107999999999
-9.37819339875335,-62.587174531921,110.959894
-7.51222495036648,-63.0266980219283,55.01745199999999
-5.62422351760364,-63.18709486718021,50.653389
-5.81320526099773,-61.2992484088508,44.346313
-7.19787015137271,-59.88566610471881,132.98111
-5.12266931402812,-60.3770456690009,29.063563
-13.6547331727689,-57.8885464788372,565.762008
-12.1249381394923,-58.00267362778721,310.883113
-13.0114269537202,-57.0985516651799,361.81326
-13.4520683369831,-56.7215837606849,369.434418
-13.8327256922854,-56.1100052480978,485.279779
-13.0704649504837,-55.92177070911169,396.637749
-12.7320686309095,-56.5194858964735,375.13416
-12.2347687154753,-56.6493436130839,351.292241
-12.5517767074447,-55.72591367509131,380.156774
-12.2368419997845,-56.1597931355503,383.46838
-11.2503599781237,-57.5131232183312,278.660878
-11.5338400290875,-57.4083538380051,269.935818
-11.3876347789954,-57.3174751138237,307.807995
-11.307507956675,-56.8248337962705,335.007205
-9.84295281998759,-57.8184757985331,226.150818
-9.97261692661274,-57.4723693069132,291.325524
-9.56549516841497,-57.3954022412255,221.881374
-10.6311042286766,-55.71487730604381,299.082119
-9.66965549821321,-56.4788997201888,274.346288
-9.87172259630039,-56.09161044047379,273.535402
-9.96666579223378,-55.8216147779941,288.937703
-13.8161897315183,-55.2776928814179,512.132374
-13.0338277155405,-55.273213318984,420.2412910000001
